id,descripcion,precio,idTipo,oferta
1,Exo Smart E16 Plus x5-8350 Atom 4Gb 32Gb 14 Win10,15739,2,SIN DATOS
2,Bangho Zero M4 i1 F Celeron 3Gb Ssd 240Gb 14,17529,2,SIN DATOS
5,Exo Smart E24S Celeron 4Gb 500Gb 14,17679,2,SIN DATOS
9,Asus X540M Celeron 4Gb 500Gb 15.6 Win10,22089,2,SIN DATOS
10,Lenovo IdeaPad S145-14IGM Celeron 4Gb 500Gb 14 Win10,22729,2,SIN DATOS
11,Lenovo V130-15IGM Pentium 4Gb 500Gb 15.6,24469,2,SIN DATOS
17,Hp 250 G7 Core i3 4Gb 1Tb 15.6,31169,2,SIN DATOS
18,Hp 250 G7 Core i3 12Gb Ssd 240Gb 15.6,34659,2,SIN DATOS
19,Lenovo V330-15IKB Core i5 8Gb Ssd M.2 240Gb 14,40479,2,SIN DATOS
20,Dell Latitude Core i5 8Gb 1Tb 15.6 Win10 Pro,57889,2,SIN DATOS
